"","data","horario","id_video","id_plataforma","alim_disp","alim_esco_capuchin","id_animal","id_especie","sex_age","n_classe","n_total","id_capuchin","alim","vocalizacao","agonismo_disputa_alimento","agonismo_deslocar","agonismo_deslocado","agonismo_ameaca","agonismo_int_intra","agonismo_int_inter","positiva_int_intra","positiva_int_inter","neutra_int_intra","neutra_int_inter"
"1","2025-06-14","14:33:00","6140007","3","mamao","mamao","macaco_prego","Sapajus nigritus cucullatus","MA",2,3,"alfa","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"2","2025-06-14","14:33:00","6140007","3","mamao","mamao","macaco_prego","Sapajus nigritus cucullatus","JU",1,3,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"3","2025-06-14","14:33:00","6140007","3","mamao",NA,"macaco_prego","Sapajus nigritus cucullatus","MA",2,3,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"4","2025-06-14","14:35:00","6140008","3",NA,NA,"macaco_prego","Sapajus nigritus cucullatus","JU",1,2,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"5","2025-06-14","14:35:00","6140008","3",NA,NA,"macaco_prego","Sapajus nigritus cucullatus","FA",1,2,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"6","2025-06-14","16:07:00","6140009","3",NA,NA,"macaco_prego","Sapajus nigritus cucullatus","FA",1,1,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2025-07-09","14:18:00","7090022","3",NA,"restos","macaco_prego","Sapajus nigritus cucullatus","MA",1,1,"alfa","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2025-07-09","14:19:00","7090023","3",NA,"restos","macaco_prego","Sapajus nigritus cucullatus","MA",1,2,"alfa","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"9","2025-07-09","14:19:00","7090023","3",NA,"restos","macaco_prego","Sapajus nigritus cucullatus","FA",1,2,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"10","2025-07-09","14:38:00","7090024","3",NA,NA,"macaco_prego","Sapajus nigritus cucullatus","NI",1,1,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2025-07-09","14:58:00","7090025","3",NA,NA,"macaco_prego","Sapajus nigritus cucullatus","FA",1,1,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2025-07-09","15:02:00","7090026","3",NA,NA,"macaco_prego","Sapajus nigritus cucullatus","NI",NA,2,NA,"0",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"13","2025-07-09","15:02:00","7090026","3",NA,NA,"macaco_prego","Sapajus nigritus cucullatus","NI",NA,2,NA,"0",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"14","2025-07-09","15:05:00","7090027","3",NA,NA,"macaco_prego","Sapajus nigritus cucullatus","FA",1,2,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2025-07-09","15:05:00","7090027","3",NA,NA,"macaco_prego","Sapajus nigritus cucullatus","JU",1,2,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2025-07-09","15:25:00","7090028","3",NA,NA,"macaco_prego","Sapajus nigritus cucullatus","FA",1,1,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2025-07-09","16:04:00","7090029","3",NA,NA,"macaco_prego","Sapajus nigritus cucullatus","NI",1,1,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2025-07-30","14:54:00","7300022","4",NA,NA,"macaco_prego","Sapajus nigritus cucullatus","FA",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
